accession	ambiguous_bases	checkm2_completeness	checkm2_contamination	checkm2_model	checkm_completeness	checkm_contamination	checkm_marker_count	checkm_marker_lineage	checkm_marker_set_count	checkm_strain_heterogeneity	coding_bases	coding_density	contig_count	gc_count	gc_percentage	genome_size	gtdb_genome_representative	gtdb_representative	gtdb_taxonomy	gtdb_type_designation_ncbi_taxa	gtdb_type_designation_ncbi_taxa_sources	gtdb_type_species_of_genus	l50_contigs	l50_scaffolds	longest_contig	longest_scaffold	lsu_23s_contig_len	lsu_23s_count	lsu_23s_length	lsu_23s_query_id	lsu_5s_contig_len	lsu_5s_count	lsu_5s_length	lsu_5s_query_id	lsu_silva_23s_blast_align_len	lsu_silva_23s_blast_bitscore	lsu_silva_23s_blast_evalue	lsu_silva_23s_blast_perc_identity	lsu_silva_23s_blast_subject_id	lsu_silva_23s_taxonomy	mean_contig_length	mean_scaffold_length	mimag_high_quality	mimag_low_quality	mimag_medium_quality	n50_contigs	n50_scaffolds	ncbi_assembly_level	ncbi_assembly_name	ncbi_assembly_type	ncbi_bioproject	ncbi_biosample	ncbi_contig_count	ncbi_contig_n50	ncbi_country	ncbi_date	ncbi_genbank_assembly_accession	ncbi_genome_category	ncbi_genome_representation	ncbi_isolate	ncbi_isolation_source	ncbi_lat_lon	ncbi_molecule_count	ncbi_ncrna_count	ncbi_organism_name	ncbi_protein_count	ncbi_refseq_category	ncbi_rrna_count	ncbi_scaffold_count	ncbi_scaffold_l50	ncbi_scaffold_n50	ncbi_scaffold_n75	ncbi_scaffold_n90	ncbi_seq_rel_date	ncbi_spanned_gaps	ncbi_species_taxid	ncbi_ssu_count	ncbi_strain_identifiers	ncbi_submitter	ncbi_taxid	ncbi_taxonomy	ncbi_taxonomy_unfiltered	ncbi_total_gap_length	ncbi_total_length	ncbi_translation_table	ncbi_trna_count	ncbi_type_material_designation	ncbi_ungapped_length	ncbi_unspanned_gaps	ncbi_wgs_master	protein_count	scaffold_count	ssu_contig_len	ssu_count	ssu_gg_blast_align_len	ssu_gg_blast_bitscore	ssu_gg_blast_evalue	ssu_gg_blast_perc_identity	ssu_gg_blast_subject_id	ssu_gg_taxonomy	ssu_length	ssu_query_id	ssu_silva_blast_align_len	ssu_silva_blast_bitscore	ssu_silva_blast_evalue	ssu_silva_blast_perc_identity	ssu_silva_blast_subject_id	ssu_silva_taxonomy	total_gap_length	trna_aa_count	trna_count	trna_selenocysteine_count
RS_GCF_029320955.1	0	99.97	3.41	Specific	99.65	0.49	511	f__Flavobacteriaceae (UID2817)	283	33.33	4825508	87.99499037536444	1	1848014	33.699244544520226	5483844	RS_GCF_029320955.1	t	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium sp029320955	not type material	none	f	1	1	5483844	5483844	5483844	5	2867	NZ_CP119757.1	5483844	5	105	NZ_CP119757.1	2873	4915	0	97.598	CP030261.20894.23784	Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;Flavobacterium sp. HYN0086	5483844	5483844	t	f	f	5483844	5483844	Complete Genome	ASM2932095v1	na	PRJNA224116	SAMN33593159	none	none	China: Fu River Wetland; Wuhan	2023-03-21	GCA_029320955.1	none	full	na	wood soil	30.52 N 114.31 E	1	0	Flavobacterium sp. YJ01	none	na	15	1	1	5483844	5483844	5483844	2023/03/21	0	3031997	5	YJ01	Wuhan Polytechnic University	3031997	d__Bacteria;p__Bacteroidota;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__	d__Bacteria;x__FCB group;x__Bacteroidota/Chlorobiota group;p__Bacteroidota;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;x__unclassified Flavobacterium;s__Flavobacterium sp. YJ01	0	5483844	11	59	na	5483844	0	na	4675	1	5483844	5	none	none	none	none	none	none	1510	NZ_CP119757.1	1470	2689	0	99.728	AJ786797.1.1470	Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;Flavobacterium sp. R-21935	0	19	59	0
RS_GCF_020412405.1	0	100.0	0.28	Specific	99.94	1.15	693	g__Mycobacterium (UID1816)	300	0.0	5648940	89.94144907100912	6	4241574	67.53361018207247	6280686	RS_GCF_000277125.1	f	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium intracellulare	not type material	none	f	1	1	6076815	6076815	6076815	1	3101	NZ_CP084592.1	none	0	none	none	3101	5727	0	100	CP022223.1426804.1429916	Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium intracellulare subsp. chimaera	1046781	1046781	f	f	t	6076815	6076815	Complete Genome	ASM2041240v1	na	PRJNA224116	SAMN21908196	none	none	Italy:Siena	2021-10-11	GCA_020412405.1	none	full	na	water	43.34274609 N 11.33614028 E	6	0	Mycobacterium intracellulare subsp. chimaera	none	na	3	6	1	6076815	6076815	6076815	2021/10/11	0	1767	1	850	University of Siena	222805	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium intracellulare	d__Bacteria;x__Terrabacteria group;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;x__Mycobacterium avium complex (MAC);s__Mycobacterium intracellulare;sb__Mycobacterium intracellulare subsp. chimaera	0	6280686	11	47	na	6280686	0	na	5827	6	6076815	1	none	none	none	none	none	none	1528	NZ_CP084592.1	1528	2822	0	100	CP022223.1424985.1426527	Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium intracellulare subsp. chimaera	0	19	47	0
RS_GCF_014930935.1	0	100.0	0.26	Specific	99.68	0.11	813	o__Pseudomonadales (UID4488)	308	0.0	5589844	89.73330805533826	1	4146476	66.56303972920654	6229397	RS_GCF_001457615.1	f	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas aeruginosa	not type material	none	f	1	1	6229397	6229397	6229397	4	2887	NZ_CP063047.1	6229397	4	110	NZ_CP063047.1	2887	5332	0	100	CP021999.726011.728922	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas aeruginosa	6229397	6229397	t	f	f	6229397	6229397	Complete Genome	ASM1493093v1	na	PRJNA224116	SAMN16393143	none	none	South Korea: Ulsan	2020-10-26	GCA_014930935.1	none	full	na	none	35.502 N 129.382 E	1	1	Pseudomonas aeruginosa	none	na	12	1	1	6229397	6229397	6229397	2020/10/26	0	287	4	KC-Tt-1	Korea Research Institute of Bioscience & Biotechnology	287	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas aeruginosa	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;x__Pseudomonas aeruginosa group;s__Pseudomonas aeruginosa	0	6229397	11	64	na	6229397	0	na	5664	1	6229397	4	none	none	none	none	none	none	1532	NZ_CP063047.1	1532	2830	0	100	CP031660.6281927.6283463	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas aeruginosa	0	19	64	1
RS_GCF_002250095.2	0	100.0	0.17	Specific	99.61	0.33	805	g__Staphylococcus (UID298)	176	100.0	2180423	84.37673170928026	1	873684	33.809311526566546	2584152	RS_GCF_002901705.1	f	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus lugdunensis	not type material	none	f	1	1	2584152	2584152	2584152	6	2918	NZ_CP017069.2	2584152	8	110	NZ_CP017069.2-#4	2918	5389	0	100	CP023970.2310119.2313042	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;Staphylococcus lugdunensis	2584152	2584152	t	f	f	2584152	2584152	Complete Genome	ASM225009v2	na	PRJNA224116	SAMN05591932	none	none	Hong Kong	2017-09-05	GCA_002250095.2	none	full	na	Groin	none	1	1	Staphylococcus lugdunensis	2410	na	20	1	1	2584152	2584152	2584152	2017/09/05	0	28035	6	K93G	HKU	28035	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus lugdunensis	d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus lugdunensis	0	2584152	11	69	na	2584152	0	na	2401	1	2584152	6	none	none	none	none	none	none	1549	NZ_CP017069.2	1549	2861	0	100	CP023970.2403006.2404561	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;Staphylococcus lugdunensis	0	19	69	0
RS_GCF_029167725.1	0	100.0	0.39	Specific	99.4	0.12	1312	g__Klebsiella (UID5140)	336	0.0	5097774	87.1762169727204	6	3330373	56.952175449145	5847666	RS_GCF_000742135.1	f	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae	not type material	none	f	1	1	5383528	5383528	5383528	8	2899	NZ_CP119174.1	5383528	8	354	NZ_CP119174.1	2899	5354	0	100	CP027160.4913552.4916451	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella pneumoniae	974611	974611	t	f	f	5383528	5383528	Complete Genome	ASM2916772v1	na	PRJNA224116	SAMN33555564	none	none	China:Nanchang	2023-03-12	GCA_029167725.1	none	full	na	blood	none	6	8	Klebsiella pneumoniae	none	na	25	6	1	5383528	5383528	5383528	2023/03/12	0	573	8	X-CRHVKP-130	The First Affiliated Hospital of Nanchang University	573	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;x__Klebsiella/Raoultella group;g__Klebsiella;s__Klebsiella pneumoniae	0	5847666	11	85	na	5847666	0	na	5561	6	5383528	8	none	none	none	none	none	none	1537	NZ_CP119174.1-#6	1537	2839	0	100	CP011989.4291368.4292921	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella pneumoniae UHKPC33	0	19	85	1
GB_GCA_947497985.1	0	99.1	0.27	Specific	99.82	0.35	625	f__Rhodobacteraceae (UID3375)	283	0.0	3756872	89.67921104431025	47	2351308	56.12739703726266	4189234	GB_GCA_947497985.1	t	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Epibacterium;s__Epibacterium sp947497985	not type material	none	f	7	7	392124	392124	6138	1	2821	CANMIX010000029.1	6138	1	110	CANMIX010000029.1	2823	4588	0	96.033	AAYC01000001.208670.211502	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseobacter;Roseobacter sp. SK209-2-6	89132	89132	t	f	f	228195	228195	Contig	4-2012.fasta	na	PRJEB57783	SAMEA112157476	47	228195	none	2023-01-28	GCA_947497985.1	derived from metagenome	full	4-2012.fasta	unknown	none	0	none	uncultured Rhodobacteraceae bacterium	none	na	none	none	none	none	none	none	2023/01/28	0	157276	none	4-2012.fasta	marine college, shandong university	157276	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Paracoccaceae;g__;s__	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Paracoccaceae;x__environmental samples;s__uncultured Rhodobacteraceae bacterium	0	4189234	none	none	na	4189234	0	CANMIX000000000.1	4073	47	6138	1	none	none	none	none	none	none	1457	CANMIX010000029.1	1424	2571	0	99.298	JF767283.1.1424	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Pseudophaeobacter;uncultured marine bacterium	0	19	50	0
GB_GCA_001464955.1	0	100.0	0.23	General	97.65	0.2	413	o__Rhizobiales (UID3447)	248	0.0	4290395	88.70694955995893	37	3199877	66.15971900887277	4836594	GB_GCA_001464955.1	t	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Ga0077555;s__Ga0077555 sp001464955	not type material	none	f	5	5	1204844	1204844	none	0	none	none	64314	1	110	LNEM01000028.1	none	none	none	none	none	none	130718	130718	f	f	t	195416	195416	Contig	Rhizobiales bacterium Ga0077537	na	PRJNA301005	SAMN04254506	37	195416	USA: Ann Arbor	2015-12-09	GCA_001464955.1	derived from metagenome	full	Ga0077537	dual media filters at the Ann Arbor; Michigan drinking water treatment plant	42.2814 N 83.74829999 W	0	none	Rhizobiales bacterium Ga0077537	0	na	none	none	none	none	none	none	2015/12/09	0	1752224	none	Ga0077537	University of Glasgow	1752224	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__;g__;s__	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;x__unclassified Hyphomicrobiales;s__Rhizobiales bacterium Ga0077537	0	4836594	none	none	na	4836594	0	LNEM00000000.1	4441	37	1204844	1	none	none	none	none	none	none	512	LNEM01000030.1	508	889	0	98.228	HQ697500.1.1455	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Pedomicrobium;uncultured bacterium	0	18	43	1
RS_GCF_008041115.1	0	100.0	0.17	Specific	99.97	0.04	1173	f__Enterobacteriaceae (UID5124)	336	0.0	4438235	87.49302389489722	317	2573034	50.72343515933315	5072673	RS_GCF_003697165.2	f	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	not type material	none	f	13	13	310672	310672	2813	4	2787	NZ_VRWU01000071.1	209962	7	356	NZ_VRWU01000006.1	2787	5147	0	100	CP027126.4299194.4302095	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;Escherichia coli	16002	16002	t	f	f	126619	126619	Contig	ASM804111v1	na	PRJNA224116	SAMN12571363	317	126619	Russia: Kazan	2019-08-20	GCA_008041115.1	none	full	na	gut	55.46 N 49.07 E	0	7	Escherichia coli	none	na	28	none	none	none	none	none	2019/08/20	0	562	9	3_188_1	Kazan Federal University	562	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	0	5072673	11	91	na	5072673	0	VRWU00000000.1	5021	317	1463	1	none	none	none	none	none	none	1444	NZ_VRWU01000091.1	1444	2667	0	100	CP033250.3843552.3845105	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;Escherichia coli	0	19	91	1
RS_GCF_900061695.1	0	100.0	0.06	Specific	100.0	0.19	444	c__Gammaproteobacteria (UID4388)	262	0.0	2973171	88.42843775894242	29	1286529	38.264112491872964	3362234	RS_GCF_000008485.1	f	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__Legionella;s__Legionella pneumophila	not type material	none	f	5	5	480123	480123	3274	1	2889	NZ_FJEP01000026.1	3274	2	111	NZ_FJEP01000026.1	2889	5336	0	100	CP012019.3276046.3278954	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;Legionella pneumophila	115939	115939	t	f	f	242960	242960	Contig	10771_3#85	na	PRJNA224116	SAMEA2065274	29	242960	United Kingdom	2016-02-22	GCA_900061695.1	none	full	na	Clinical	none	0	1	Legionella pneumophila	3045	na	5	none	none	none	none	none	2016/02/22	0	446	2	2531STDY5467462	SC	446	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__Legionella;s__Legionella pneumophila	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__Legionella;s__Legionella pneumophila	0	3362234	11	40	na	3362234	0	FJEP00000000.1	3007	29	86043	1	1539	2832	0	99.87	4405305	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__Legionella;s__pneumophila	1540	NZ_FJEP01000013.1	1540	2844	0	100	CP012019.707049.708594	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;Legionella pneumophila	0	19	40	0
RS_GCF_002996525.1	0	96.74	0.35	Specific	100.0	0.0	235	f__Spirochaetaceae (UID2512)	124	0.0	1124199	86.85231539424281	54	361749	27.94766606406156	1294380	RS_GCF_000008685.2	f	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Borreliales;f__Borreliaceae;g__Borreliella;s__Borreliella burgdorferi	not type material	none	f	1	1	909754	909754	909754	2	2924	NZ_PHQI01000001.1	909754	2	105	NZ_PHQI01000001.1	2924	5389	0	99.932	CP001205.434674.437607	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;Borreliella;Borreliella burgdorferi ZS7	23970	23970	t	f	f	909754	909754	Contig	ASM299652v1	na	PRJNA224116	SAMN08049192	54	909754	Canada: Buffalo Point; MB	2018-03-14	GCA_002996525.1	none	full	na	none	none	0	0	Borreliella burgdorferi	1298	na	5	none	none	none	none	none	2018/03/14	0	139	1	Bb16-105	Public Health Agency of Canada	139	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Borreliaceae;g__Borreliella;s__Borreliella burgdorferi	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Borreliaceae;g__Borreliella;s__Borreliella burgdorferi	0	1294380	11	32	na	1294380	0	PHQI00000000.1	1258	54	909754	2	1532	2774	0	99.347	4301713	k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__[Borreliales];f__[Borreliaceae];g__Borrelia;s__	1533	NZ_PHQI01000001.1	1533	2832	0	100	CP031412.444300.445837	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;Borreliella;Borreliella burgdorferi (Lyme disease spirochete)	0	19	32	0
GB_GCA_947648955.1	0	78.78	5.39	General	79.73	3.73	263	o__Clostridiales (UID1212)	149	21.43	2537394	90.15741876432807	423	1241492	44.11207488335008	2814404	GB_GCA_910575665.1	f	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F;s__Eubacterium_F sp910575665	not type material	none	f	115	115	28961	28961	none	0	none	none	none	0	none	none	none	none	none	none	none	none	6653	6653	f	f	t	7761	7761	Contig	SRR15730534_bin.19_metawrap_v1.3_MAG	na	PRJEB57835	SAMEA112233984	423	7761	none	2022-12-21	GCA_947648955.1	derived from metagenome	full	SRR15730534_bin.19_metawrap_v1.3_MAG	mouse gut metagenome	none	0	none	uncultured Roseburia sp.	none	na	none	none	none	none	none	none	2022/12/21	0	512314	none	SRR15730534_bin.19_metawrap_v1.3_MAG	EMG	512314	d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Roseburia;s__	d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Roseburia;x__environmental samples;s__uncultured Roseburia sp.	0	2814404	none	none	na	2814404	0	CANSPT000000000.1	2891	423	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0	13	24	0
GB_GCA_031261985.1	0	94.21	1.23	General	88.2	2.46	263	o__Clostridiales (UID1212)	149	0.0	1277947	88.61499694203174	21	576712	39.99018121755676	1442134	GB_GCA_031261985.1	t	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Monoglobales;f__WRBX01;g__JAISIR01;s__JAISIR01 sp031261985	not type material	none	f	5	5	197098	197098	160160	1	208	JAISIR010000001.1	160160	1	110	JAISIR010000001.1	204	198	1.81e-49	84.314	LM995447.2200541.2203374	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;[Clostridium] cellulosi group;[Clostridium] cellulosi	68673	68673	f	f	t	119342	119342	Contig	ASM3126198v1	na	PRJNA732531	SAMN21241686	21	119342	South Africa: Pretoria	2023-09-07	GCA_031261985.1	derived from metagenome	full	Hm464_bin68	termite gut	25.753482 S 28.237741 E	0	1	Clostridiales bacterium	none	na	3	none	none	none	none	none	2023/09/07	0	1898207	1	Hm464_bin68	Max Planck Institute for Terrestrial Microbiology	1898207	d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__;g__;s__	d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;x__unclassified Eubacteriales;s__Clostridiales bacterium	0	1442134	11	39	na	1442134	0	JAISIR000000000.1	1282	21	56272	1	none	none	none	none	none	none	355	JAISIR010000004.1	353	424	5.54e-117	88.669	EU463629.1.1375	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;NK4A214 group;uncultured bacterium	0	18	39	0
RS_GCF_018780985.1	2	100.0	0.03	Specific	100.0	0.0	475	o__Lactobacillales (UID544)	267	0.0	1865235	88.2832793129823	22	869245	41.14220018913451	2112784	RS_GCF_000294495.1	f	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus suis	not type material	none	f	3	3	545373	545373	545373	1	2900	NZ_PXON01000001.1	545373	3	109	NZ_PXON01000001.1	2900	5356	0	100	CP024050.424276.427186	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus suis	96035	96035	t	f	f	184707	184707	Contig	ASM1878098v1	na	PRJNA224116	SAMN08683364	22	184707	China	2021-06-08	GCA_018780985.1	none	full	na	none	none	0	1	Streptococcus suis	none	na	5	none	none	none	none	none	2021/06/08	0	1307	1	CH70	Huazhong Agricultural University	1307	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus suis	d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus suis	0	2112784	11	45	na	2112784	0	PXON00000000.1	2030	22	545373	1	none	none	none	none	none	none	1546	NZ_PXON01000001.1	1546	2856	0	100	CP024050.422329.423884	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus suis	0	19	45	0
RS_GCF_022577085.1	0	100.0	0.09	Specific	100.0	0.19	444	c__Gammaproteobacteria (UID4388)	262	0.0	3009544	88.46508054040659	35	1302092	38.27479300884755	3401957	RS_GCF_000008485.1	f	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__Legionella;s__Legionella pneumophila	not type material	none	f	6	6	546855	546855	5157	1	2889	NZ_JAAJAM010000029.1	5157	1	111	NZ_JAAJAM010000029.1	2889	5336	0	100	CP012019.708890.711798	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;Legionella pneumophila	97198	97198	t	f	f	178866	178866	Contig	ASM2257708v1	na	PRJNA224116	SAMN14088712	35	178866	Italy: Bresso; MI	2022-03-15	GCA_022577085.1	none	full	na	water	45.324880 N 9.111560 E	0	1	Legionella pneumophila serogroup 1	none	na	3	none	none	none	none	none	2022/03/15	0	446	1	2257A	Division of Molecular Biology, Immunology and Experimental Medicine, Army Medical Center	66976	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__Legionella;s__Legionella pneumophila	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__Legionella;s__Legionella pneumophila;x__Legionella pneumophila serogroup 1	0	3401957	11	39	na	3401957	0	JAAJAM000000000.1	3059	35	5157	1	none	none	none	none	none	none	1540	NZ_JAAJAM010000029.1	1540	2844	0	100	CP012019.707049.708594	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;Legionella pneumophila	0	19	40	0
RS_GCF_014493495.1	34	100.0	0.07	Specific	100.0	0.15	1169	f__Enterobacteriaceae (UID5139)	340	25.0	4130807	87.2669998502174	40	2466262	52.10236922289734	4733527	RS_GCF_000006945.2	f	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	not type material	none	f	3	3	1549135	1549135	1570	4	1561	NZ_WPNU01000019.1	695408	5	329	NZ_WPNU01000002.1	1561	2883	0	100	CP032851.4328738.4331665	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica subsp. enterica serovar Enteritidis	118338	118338	f	f	t	489940	489940	Contig	ASM1449349v1	na	PRJNA224116	SAMN13195591	40	489940	China: Hangzhou	2020-09-08	GCA_014493495.1	none	full	na	blood	30.3 N 120.2 E	0	11	Salmonella sp. S004_57391	none	na	14	none	none	none	none	none	2020/09/08	0	2665509	4	S004_57391	Zhejiang University	2665509	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;x__unclassified Salmonella;s__Salmonella sp. S004_57391	0	4733527	11	80	na	4733527	0	WPNU00000000.1	4482	40	1459	1	none	none	none	none	none	none	1444	NZ_WPNU01000020.1	1444	2667	0	100	CP032446.499831.501384	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica subsp. enterica serovar Dublin	0	19	81	1
